,raw-date,visits,date,month,year
120,1990 JAN,1808,1990-01-01,Jan,1990
119,1989 DEC,1398,1989-12-01,Dec,1989
118,1989 NOV,1647,1989-11-01,Nov,1989
117,1989 OCT,3006,1989-10-01,Oct,1989
116,1989 SEP,3878,1989-09-01,Sep,1989
115,1989 AUG,4392,1989-08-01,Aug,1989
114,1989 JUL,3353,1989-07-01,Jul,1989
113,1989 JUN,3263,1989-06-01,Jun,1989
112,1989 MAY,2478,1989-05-01,May,1989
111,1989 APR,2211,1989-04-01,Apr,1989
110,1989 MAR,2055,1989-03-01,Mar,1989
109,1989 FEB,1627,1989-02-01,Feb,1989
108,1989 JAN,1724,1989-01-01,Jan,1989
107,1988 DEC,1224,1988-12-01,Dec,1988
106,1988 NOV,1695,1988-11-01,Nov,1988
105,1988 OCT,3077,1988-10-01,Oct,1988
104,1988 SEP,3729,1988-09-01,Sep,1988
103,1988 AUG,3967,1988-08-01,Aug,1988
102,1988 JUL,3326,1988-07-01,Jul,1988
101,1988 JUN,3130,1988-06-01,Jun,1988
100,1988 MAY,2133,1988-05-01,May,1988
99,1988 APR,2080,1988-04-01,Apr,1988
98,1988 MAR,1679,1988-03-01,Mar,1988
97,1988 FEB,1384,1988-02-01,Feb,1988
96,1988 JAN,1406,1988-01-01,Jan,1988
95,1987 DEC,1098,1987-12-01,Dec,1987
94,1987 NOV,1603,1987-11-01,Nov,1987
93,1987 OCT,2540,1987-10-01,Oct,1987
92,1987 SEP,3462,1987-09-01,Sep,1987
91,1987 AUG,4041,1987-08-01,Aug,1987
90,1987 JUL,3148,1987-07-01,Jul,1987
89,1987 JUN,2849,1987-06-01,Jun,1987
88,1987 MAY,2391,1987-05-01,May,1987
87,1987 APR,2074,1987-04-01,Apr,1987
86,1987 MAR,1644,1987-03-01,Mar,1987
85,1987 FEB,1292,1987-02-01,Feb,1987
84,1987 JAN,1305,1987-01-01,Jan,1987
83,1986 DEC,1055,1986-12-01,Dec,1986
82,1986 NOV,1465,1986-11-01,Nov,1986
81,1986 OCT,2457,1986-10-01,Oct,1986
80,1986 SEP,3318,1986-09-01,Sep,1986
79,1986 AUG,3740,1986-08-01,Aug,1986
78,1986 JUL,2865,1986-07-01,Jul,1986
77,1986 JUN,2620,1986-06-01,Jun,1986
76,1986 MAY,2116,1986-05-01,May,1986
75,1986 APR,1607,1986-04-01,Apr,1986
74,1986 MAR,1572,1986-03-01,Mar,1986
73,1986 FEB,1004,1986-02-01,Feb,1986
72,1986 JAN,1129,1986-01-01,Jan,1986
71,1985 DEC,1014,1985-12-01,Dec,1985
70,1985 NOV,1424,1985-11-01,Nov,1985
69,1985 OCT,2050,1985-10-01,Oct,1985
68,1985 SEP,2830,1985-09-01,Sep,1985
67,1985 AUG,3150,1985-08-01,Aug,1985
66,1985 JUL,2277,1985-07-01,Jul,1985
65,1985 JUN,2288,1985-06-01,Jun,1985
64,1985 MAY,1651,1985-05-01,May,1985
63,1985 APR,1644,1985-04-01,Apr,1985
62,1985 MAR,1365,1985-03-01,Mar,1985
61,1985 FEB,872,1985-02-01,Feb,1985
60,1985 JAN,1043,1985-01-01,Jan,1985
59,1984 DEC,950,1984-12-01,Dec,1984
58,1984 NOV,1235,1984-11-01,Nov,1984
57,1984 OCT,2054,1984-10-01,Oct,1984
56,1984 SEP,2968,1984-09-01,Sep,1984
55,1984 AUG,3150,1984-08-01,Aug,1984
54,1984 JUL,2480,1984-07-01,Jul,1984
53,1984 JUN,2436,1984-06-01,Jun,1984
52,1984 MAY,1828,1984-05-01,May,1984
51,1984 APR,1717,1984-04-01,Apr,1984
50,1984 MAR,1336,1984-03-01,Mar,1984
49,1984 FEB,885,1984-02-01,Feb,1984
48,1984 JAN,1035,1984-01-01,Jan,1984
47,1983 DEC,912,1983-12-01,Dec,1983
46,1983 NOV,1098,1983-11-01,Nov,1983
45,1983 OCT,2027,1983-10-01,Oct,1983
44,1983 SEP,2711,1983-09-01,Sep,1983
43,1983 AUG,3187,1983-08-01,Aug,1983
42,1983 JUL,2677,1983-07-01,Jul,1983
41,1983 JUN,2142,1983-06-01,Jun,1983
40,1983 MAY,1646,1983-05-01,May,1983
39,1983 APR,1616,1983-04-01,Apr,1983
38,1983 MAR,1156,1983-03-01,Mar,1983
37,1983 FEB,875,1983-02-01,Feb,1983
36,1983 JAN,947,1983-01-01,Jan,1983
35,1982 DEC,854,1982-12-01,Dec,1982
34,1982 NOV,1087,1982-11-01,Nov,1982
33,1982 OCT,2018,1982-10-01,Oct,1982
32,1982 SEP,2741,1982-09-01,Sep,1982
31,1982 AUG,3268,1982-08-01,Aug,1982
30,1982 JUL,2247,1982-07-01,Jul,1982
29,1982 JUN,2261,1982-06-01,Jun,1982
28,1982 MAY,1524,1982-05-01,May,1982
27,1982 APR,1671,1982-04-01,Apr,1982
26,1982 MAR,1106,1982-03-01,Mar,1982
25,1982 FEB,872,1982-02-01,Feb,1982
24,1982 JAN,962,1982-01-01,Jan,1982
23,1981 DEC,737,1981-12-01,Dec,1981
22,1981 NOV,1006,1981-11-01,Nov,1981
21,1981 OCT,1812,1981-10-01,Oct,1981
20,1981 SEP,2547,1981-09-01,Sep,1981
19,1981 AUG,3143,1981-08-01,Aug,1981
18,1981 JUL,2177,1981-07-01,Jul,1981
17,1981 JUN,1828,1981-06-01,Jun,1981
16,1981 MAY,1559,1981-05-01,May,1981
15,1981 APR,1521,1981-04-01,Apr,1981
14,1981 MAR,1067,1981-03-01,Mar,1981
13,1981 FEB,818,1981-02-01,Feb,1981
12,1981 JAN,833,1981-01-01,Jan,1981
11,1980 DEC,690,1980-12-01,Dec,1980
10,1980 NOV,1004,1980-11-01,Nov,1980
9,1980 OCT,1509,1980-10-01,Oct,1980
8,1980 SEP,2258,1980-09-01,Sep,1980
7,1980 AUG,2777,1980-08-01,Aug,1980
6,1980 JUL,1950,1980-07-01,Jul,1980
5,1980 JUN,1821,1980-06-01,Jun,1980
4,1980 MAY,1438,1980-05-01,May,1980
3,1980 APR,1397,1980-04-01,Apr,1980
2,1980 MAR,1058,1980-03-01,Mar,1980
1,1980 FEB,780,1980-02-01,Feb,1980
0,1980 JAN,823,1980-01-01,Jan,1980
